stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4,920004,"Cumberland Transfer Center",,33.878192,-84.470052,,,,,,0
5,920005,"Cumberland Blvd at Spring Hill Pkwy",,33.881341,-84.474656,,,,,,0
6,920006,"Spring Rd at Cumberland Blvd",,33.884320,-84.474393,,,,,,0
7,920007,"Cobb Pkwy at Windy Ridge Pkwy",,33.889173,-84.474429,,,,,,0
8,920008,"Cobb Pkwy at Herodian Way",,33.891985,-84.477051,,,,,,0
10,920010,"Cobb Pkwy at Kenwood Creek",,33.895461,-84.480275,,,,,,0
11,920011,"Cobb Pkwy at Lake Park Dr",,33.898112,-84.482741,,,,,,0
12,920012,"Cobb Pkwy at Ed Voyles Honda",,33.900788,-84.485218,,,,,,0
13,920013,"Cobb Pkwy at Windy Hill Rd",,33.903622,-84.487816,,,,,,0
14,920014,"Cobb Pkwy at Terrell Mill Rd",,33.906234,-84.490296,,,,,,0
15,920015,"Cobb Pkwy at Airport Industrial Park Dr",,33.907798,-84.491697,,,,,,0
16,920016,"Cobb Pkwy at Cumberland Point Dr",,33.909978,-84.493755,,,,,,0
17,920017,"Cobb Pkwy at After Cumberland Pt Dr",,33.911318,-84.494970,,,,,,0
18,920018,"Cobb Pkwy at Davis Ln",,33.913177,-84.496669,,,,,,0
19,920019,"Cobb Pkwy at Franklin Rd",,33.915345,-84.498672,,,,,,0
20,920020,"Cobb Pkwy at Franklin Dr",,33.917848,-84.501013,,,,,,0
21,920021,"Cobb Pkwy at Spinks Dr",,33.924089,-84.506014,,,,,,0
22,920022,"Cobb Pkwy at Wylie Rd",,33.927752,-84.508009,,,,,,0
23,920023,"Cobb Pkwy at Barclay Cir",,33.929795,-84.509080,,,,,,0
24,920024,"Cobb Pkwy at After Barclay Circle",,33.931709,-84.510100,,,,,,0
25,920025,"Cobb Pkwy at New Hope Rd",,33.935876,-84.512393,,,,,,0
26,920026,"Cobb Pkwy at Amf Marietta Lanes",,33.938208,-84.513651,,,,,,0
27,920027,"S Marietta Pkwy at Martin Ct",,33.942509,-84.519031,,,,,,0
28,920028,"S Marietta Pkwy at Lockheed Ave",,33.941611,-84.522803,,,,,,0
29,920029,"S Marietta Pkwy at Lake Dr",,33.941002,-84.525803,,,,,,0
30,920030,"Marietta Transfer Center",,33.941682,-84.529481,,,,,,0
31,920031,"S Marietta Pkwy at Hudson Rd",,33.940698,-84.524690,,,,,,0
32,920032,"S Marietta Pkwy at Rossbacher Way",,33.941607,-84.522289,,,,,,0
33,920033,"S Marietta Pkwy at Technology Pkwy",,33.942236,-84.518214,,,,,,0
34,920034,"Cobb Pkwy at S Marietta Pkwy",,33.939742,-84.514676,,,,,,0
35,920035,"Cobb Pkwy at Life's Way",,33.935024,-84.512218,,,,,,0
36,920036,"Cobb Pkwy at Former Team Nissan",,33.932489,-84.510817,,,,,,0
37,920037,"Cobb Pkwy at Wylie Rd",,33.928021,-84.508456,,,,,,0
38,920038,"Cobb Pkwy at Spinks Dr",,33.924052,-84.506339,,,,,,0
39,920039,"Cobb Pkwy at Franklin Dr",,33.918986,-84.502400,,,,,,0
40,920040,"Cobb Pkwy at Franklin Dr",,33.917158,-84.500727,,,,,,0
41,920041,"Cobb Pkwy at Franklin Rd",,33.914991,-84.498727,,,,,,0
42,920042,"Cobb Pkwy at Enterprise Way",,33.912661,-84.496551,,,,,,0
43,920043,"Cobb Pkwy at Cumberland Point Dr",,33.910004,-84.494111,,,,,,0
44,920044,"Cobb Pkwy at Airport Industrial Park Dr",,33.907637,-84.491941,,,,,,0
45,920045,"Cobb Pkwy at Caswell Pkwy",,33.906958,-84.491324,,,,,,0
46,920046,"Cobb Pkwy at Terrell Mill Rd",,33.905177,-84.489630,,,,,,0
47,920047,"Cobb Pkwy at Windy Hill Rd",,33.901550,-84.486320,,,,,,0
48,920048,"Cobb Pkwy at Steve Rayman Chevrolet",,33.900247,-84.485125,,,,,,0
49,920049,"Cobb Pkwy at Lake Park Dr",,33.897861,-84.482928,,,,,,0
50,920050,"Cobb Pkwy at 2330 Cobb Apartment Homes",,33.895007,-84.480249,,,,,,0
51,920051,"Cobb Pkwy at Hargrove Rd",,33.891794,-84.477325,,,,,,0
54,920054,"Spring Rd at Cobb Pkwy",,33.885680,-84.472797,,,,,,0
55,920055,"Cumberland Blvd at Spring Hill Pkwy",,33.880431,-84.473949,,,,,,0
62,920062,"Powers Ferry Rd at Custom Signs Building",,33.908492,-84.465270,,,,,,0
63,920063,"Windy Hill Rd at Powers Ferry Rd",,33.905200,-84.466151,,,,,,0
64,920064,"Windy Hill Rd at S Park Pl",,33.901140,-84.477329,,,,,,0
65,920065,"Windy Hill Rd at S Park Pl",,33.901405,-84.479352,,,,,,0
66,920066,"Windy Hill Rd at Venlo Ave",,33.903744,-84.483656,,,,,,0
67,920067,"Windy Hill Rd at Cobb Pkwy",,33.903486,-84.486145,,,,,,0
68,920068,"Windy Hill Rd at Chris Volvo",,33.901815,-84.489663,,,,,,0
69,920069,"Windy Hill Rd at Roswell St",,33.896390,-84.498935,,,,,,0
70,920070,"Windy Hill Rd at Atlanta Rd",,33.894477,-84.521588,,,,,,0
71,920071,"Windy Hill Rd at Belmont Cir",,33.894437,-84.525831,,,,,,0
72,920072,"Windy Hill Rd at San Fernando Dr",,33.894569,-84.532642,,,,,,0
73,920073,"Windy Hill Rd at Old Concord Rd",,33.894646,-84.540567,,,,,,0
74,920074,"Windy Hill Rd at Wakita Dr",,33.894741,-84.547232,,,,,,0
75,920075,"Windy Hill Rd at Bouldercrest Dr",,33.894836,-84.550689,,,,,,0
76,920076,"Windy Hill Rd at Larose Dr",,33.894904,-84.555667,,,,,,0
77,920077,"Windy Hill Rd at Kennedy Ln",,33.894985,-84.563586,,,,,,0
78,920078,"Windy Hill Rd at Beverly Ln",,33.895179,-84.572018,,,,,,0
79,920079,"Austell Rd at Arkose Dr",,33.896503,-84.575211,,,,,,0
80,920080,"County Services Pkwy at Kurt Dr",,33.899230,-84.573930,,,,,,0
81,920081,"County Services Pkwy at Al Bishop Dr",,33.904023,-84.581810,,,,,,0
82,920082,"County Services Pkwy at Cobb Co Composting Facilit",,33.909617,-84.582165,,,,,,0
83,920083,"County Services Pkwy at Cobb County Health Dept",,33.912412,-84.581897,,,,,,0
84,920084,"County Services Pkwy at Department Of Motor Vehicl",,33.914560,-84.582035,,,,,,0
85,920085,"Powder Springs Rd at Cunningham Rd",,33.921592,-84.578512,,,,,,0
86,920086,"Powder Springs Rd at Bellemeade Dr",,33.923763,-84.575328,,,,,,0
87,920087,"Powder Springs Rd at Natchez Trace",,33.925107,-84.573437,,,,,,0
88,920088,"Powder Springs Rd at Longwood Dr",,33.927403,-84.569990,,,,,,0
89,920089,"Powder Springs St at Booth Rd",,33.931112,-84.563939,,,,,,0
90,920090,"Powder Springs St at Springs Landing Apts",,33.933006,-84.560707,,,,,,0
91,920091,"Powder Springs St at Chestnut Hill Rd",,33.934022,-84.559015,,,,,,0
92,920092,"Powder Springs St at Sandtown Rd",,33.935305,-84.556875,,,,,,0
93,920093,"Powder Springs St at Garrison Rd",,33.938205,-84.553680,,,,,,0
94,920094,"Powder Springs St at W Gramling St",,33.940084,-84.552229,,,,,,0
95,920095,"Powder Springs St at W Dixie Ave",,33.941648,-84.551918,,,,,,0
96,920096,"Powder Springs St at Hedges St",,33.942807,-84.551670,,,,,,0
97,920097,"Powder Springs St at Griggs St",,33.944399,-84.551139,,,,,,0
99,920099,"Roswell St at Anderson St",,33.951634,-84.547073,,,,,,0
100,920100,"Roswell St at Cole St",,33.950386,-84.543554,,,,,,0
101,920101,"Fairground St at Pierce St",,33.949281,-84.536036,,,,,,0
102,920102,"Fairground St at Frasier St",,33.947025,-84.535882,,,,,,0
104,920104,"S Marietta Pkwy at Parkway Plaza",,33.943044,-84.532894,,,,,,0
105,920105,"Fairground St at S Marietta Pkwy",,33.944133,-84.535071,,,,,,0
106,920106,"Fairground St at Frasier St",,33.946208,-84.535500,,,,,,0
107,920107,"Fairground St at Pierce St",,33.949059,-84.535852,,,,,,0
108,920108,"Roswell St at Rogers St",,33.950527,-84.538147,,,,,,0
109,920109,"Roswell St at Lakewood Dr",,33.950314,-84.541485,,,,,,0
112,920112,"Powder Springs St at Griggs St",,33.944541,-84.551279,,,,,,0
113,920113,"Powder Springs St at W Gramling St",,33.940999,-84.552279,,,,,,0
114,920114,"Powder Springs St at Sandtown Rd",,33.936284,-84.555872,,,,,,0
115,920115,"Powder Springs St at Chestnut Hill Rd",,33.934042,-84.559508,,,,,,0
116,920116,"Powder Springs St at Booth Rd",,33.931205,-84.564173,,,,,,0
117,920117,"Powder Springs St at Laurel Springs Ln",,33.927014,-84.570970,,,,,,0
118,920118,"Powder Springs Rd at Baltimore Pl",,33.923527,-84.576185,,,,,,0
119,920119,"Powder Springs St at Cunningham Rd",,33.922274,-84.578003,,,,,,0
120,920120,"Powder Springs Rd at Chapel Dr",,33.921488,-84.579057,,,,,,0
121,920121,"County Services Pkwy at Cobb County Public Safety",,33.914559,-84.582234,,,,,,0
122,920122,"COUNTY SERVICES PKWY + COBB COUNTY HEALTH DEPARTMENT",,33.912355,-84.582236,,,,,,0
123,920123,"County Services Pkwy at Cobb County Park And Recre",,33.909676,-84.582437,,,,,,0
