trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1001070,40,2,"KSU-Kennesaw Campus",,0,2950607,shp-40-01,0,0
10070,30,2,"Hamilton E. Holmes Station",,0,2948307,shp-30-01,0,0
1007070,10,2,"Marietta Transfer Center",,1,2948207,shp-10-52,0,0
1022090,15,3,"Cumberland Transfer Center",,0,2974409,shp-15-01,0,0
1028020,RAPID,1,"Marietta Transfer Center limited stops",,1,2940202,shp-Rapid-51,0,0
1041020,15,1,"Marietta Transfer Center",,1,2936302,shp-15-51,0,0
1044020,45,1,"KSU-Kennesaw Campus",,0,2937802,shp-45-01,0,0
1047090,15,3,"Marietta Transfer Center",,1,2974409,shp-15-51,0,0
1054070,25,2,"Cumberland Transfer Center",,1,2948807,shp-25-01,0,0
1061020,30,1,"Hamilton E. Holmes Station",,0,2933902,shp-30-01,0,0
1062070,BLUE,2,"Circ Blue - Battery/Cumberland Transfer Center",,1,2950907,shp-Blue-02,0,0
1083020,25,1,"Cumberland Transfer Center",,1,2943202,shp-25-01,0,0
1087020,40,1,"Marietta Transfer Center",,1,2937902,shp-40-51,0,0
1091020,10,1,"Marietta Transfer Center",,1,2934902,shp-10-52,0,0
1092070,10,2,"Marietta Transfer Center",,1,2949607,shp-10-52,0,0
1095020,RAPID,1,"Arts Center Station with limited stops",,0,2938402,shp-Rapid-01,0,0
1098070,30,2,"Hamilton E. Holmes Station",,0,2948907,shp-30-01,0,0
1100090,30,3,"Hamilton E. Holmes Station",,0,2981509,shp-30-01,0,0
1102090,RAPID,3,"KSU-Kennesaw Campus limited stops",,1,2977209,shp-Rapid-52,0,0
1103020,30,1,"Marietta Transfer Center",,1,2935902,shp-30-52,0,0
1108090,RAPID,3,"KSU-Kennesaw Campus limited stops",,1,2979209,shp-Rapid-52,0,0
1117090,50,3,"Marietta Transfer Center",,1,2974609,shp-50-51,0,0
1119090,45,3,"KSU-Kennesaw Campus",,0,2981809,shp-45-01,0,0
1137070,RAPID,2,"KSU-Kennesaw Campus limited stops",,1,2950207,shp-Rapid-52,0,0
114090,25,3,"Hamilton E. Holmes Station",,0,2982409,shp-25-51,0,0
1145020,20,1,"Cumberland Transfer Center",,0,2934802,shp-20-03,0,0
1153070,BLUE,2,"Circ Blue - Battery/Cumberland Transfer Center",,1,2950907,shp-Blue-02,0,0
1170020,RAPID,1,"Arts Center Station with limited stops",,0,2938402,shp-Rapid-01,0,0
1171020,30,1,"Marietta Transfer Center",,1,2936402,shp-30-52,0,0
