trip_id,arrival_time,departure_time,stop_id,stop_sequence
87068,06:00:00,06:00:00,20605,1
87068,,,20730,2
87068,,,20606,3
87068,,,20608,4
87068,06:07:00,06:07:00,20609,5
87068,,,20610,6
87068,06:12:00,06:12:00,20611,7
87068,,,20612,8
87068,,,20614,9
87068,,,20615,10
87068,,,20616,11
87068,06:28:00,06:28:00,20631,12
87068,,,20617,13
87068,06:33:00,06:33:00,20618,14
87068,,,20619,15
87068,,,20622,16
87068,,,20620,17
87068,06:42:00,06:42:00,20621,18
87068,06:47:00,06:47:00,20623,19
87433,07:00:00,07:00:00,20605,1
87433,,,20730,2
87433,,,20606,3
87433,,,20608,4
87433,07:07:00,07:07:00,20609,5
87433,,,20610,6
87433,07:12:00,07:12:00,20611,7
87433,,,20612,8
87433,,,20614,9
87433,,,20615,10
87433,,,20616,11
87433,07:28:00,07:28:00,20631,12
87433,,,20617,13
87433,07:33:00,07:33:00,20618,14
87433,,,20619,15
87433,,,20622,16
87433,,,20620,17
87433,07:42:00,07:42:00,20621,18
87433,07:47:00,07:47:00,20623,19
87434,08:00:00,08:00:00,20605,1
87434,,,20730,2
87434,,,20606,3
87434,,,20608,4
87434,08:07:00,08:07:00,20609,5
87434,,,20610,6
87434,08:12:00,08:12:00,20611,7
87434,,,20612,8
87434,,,20614,9
87434,,,20615,10
87434,,,20616,11
87434,08:28:00,08:28:00,20631,12
87434,,,20617,13
87434,08:33:00,08:33:00,20618,14
87434,,,20619,15
87434,,,20622,16
87434,,,20620,17
87434,08:42:00,08:42:00,20621,18
87434,08:47:00,08:47:00,20623,19
87435,09:00:00,09:00:00,20605,1
87435,,,20730,2
87435,,,20606,3
87435,,,20608,4
87435,09:07:00,09:07:00,20609,5
87435,,,20610,6
87435,09:12:00,09:12:00,20611,7
87435,,,20612,8
87435,,,20614,9
87435,,,20615,10
87435,,,20616,11
87435,09:28:00,09:28:00,20631,12
87435,,,20617,13
87435,09:33:00,09:33:00,20618,14
87435,,,20619,15
87435,,,20622,16
87435,,,20620,17
87435,09:42:00,09:42:00,20621,18
87435,09:47:00,09:47:00,20623,19
87436,10:00:00,10:00:00,20605,1
87436,,,20730,2
