stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2,2,Sugarloaf Mills P&R,,33.983805,-84.084292,,,0,,0
3,3,Gwinnett Transit Center,,33.963169,-84.131209,,,0,,0
6,6,Doraville MARTA Station,,33.902675,-84.279965,,,0,,0
7,7,Beaver Ruin Rd & Price Pl,,33.94104,-84.204013,,,0,,0
9,9,Dawson/Live Oak & Jimmy Carter Blvd,,33.907341,-84.204822,,,0,,0
11,11,Live Oak Pkwy & Thompson Pkwy OB,,33.906019,-84.202669,,,0,,0
13,13,Beaver Ruin Rd & Steve Reynolds Blvd,,33.931214,-84.147359,,,0,,0
15,15,Peachtree Corners Cir & Holcomb Bridge R,,33.958759,-84.246874,,,0,,0
16,16,Sugarloaf Pkwy & Five Forks Trickum Rd,,33.922554,-84.016913,,,0,,0
17,17,Gwinnett Justice & Admin Center,,33.950637,-83.995067,,,0,,0
19,19,I-985 @ SR20 P&R,,34.085081,-83.995197,,,0,,0
20,600008,Civic Center Station (West Peachtreet Street),,33.766146,-84.387608,,,0,,0
21,21,John Portman Blvd @ Peachtree Center Ave,,33.760898,-84.385603,,,0,,0
22,600039,Martin Luther King Junior Drive at Peachtree Street,,33.751932,-84.391726,,,0,,0
24,600024,Central Avenue Southwest at Mitchell Street Southwest,,33.749523,-84.3907,,,0,,0
25,600004,Forsyth Street at Martin Luther King Junior Drive,,33.752241,-84.39396,,,0,,0
26,600049,Peachtree Center Avenue at Andrew Young International Boulevard,,33.759601,-84.386002,,,0,,0
27,27,I-85 @ Indian Trail P&R,,33.929735,-84.175444,,,0,,0
28,28,Shackleford Rd & Kaiser Permanente Bldg,,33.946362,-84.134772,,,0,,0
29,29,Breckinridge Blvd/Old Norcross Rd,,33.958446,-84.110161,,,0,,0
30,30,Lawrenceville Hwy & Indian Trail/Killian,,33.894851,-84.140301,,,0,,0
32,32,Arts Center MARTA Station,,33.789285,-84.386904,,,0,,0
48,48,Buford Hwy & Beaver Ruin Rd,,33.94394,-84.203065,,,0,,0
58,58,Peachtree Pkwy & Quicktrip IBOB (End of ,,33.976678,-84.218487,,,0,,0
60,60,Beaver Ruin Rd & Buford Hwy (McD's),,33.944569,-84.204422,,,0,,0
61,61,Brook Hollow Pkwy & N Norcross,,33.920547,-84.214868,,,0,,0
62,62,Brook Hollow Pkwy & N Norcross,,33.920809,-84.214782,,,0,,0
64,64,Live Oak Pkwy & Carter Oak Crossing,,33.907516,-84.204515,,,0,,0
65,65,Lawrenceville Hwy & Indian Trail Rd,,33.894945,-84.140578,,,0,,0
66,66,Holcomb Bridge Rd & Peachtree Corners Ci,,33.958374,-84.247765,,,0,,0
67,67,Gwinnett Justice & Admin Center,,33.952173,-83.992757,,,0,,0
69,69,Steve Reynolds Blvd & Beaver Ruin Rd,,33.92999,-84.1471,,,0,,0
71,71,1535 Atkinson Rd,,33.967461,-84.071443,,,0,,0
73,73,Atkinson Rd & Dollar Tree,,33.976279,-84.078886,,,0,,0
74,74,Atkinson & Shell Gas Station,,33.976316,-84.07916,,,0,,0
77,77,Atkinson Rd & Westfield Dr,,33.971512,-84.07516,,,0,,0
78,78,Atkinson & Willow Pointe Dr,,33.967641,-84.071988,,,0,,0
79,79,Old Norcross Rd & Averitt OB,,33.953461,-84.02377,,,0,,0
80,600001,Baker Street at Peachtree Street,,33.762306,-84.38718,,,0,,0
83,83,Beaver Ruin Rd & East Hill Way OB,,33.938002,-84.18819,,,0,,0
