route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
400,1,400,Cumming - Downtown,400 Cumming - Downtown,3,https://www.xpressga.com/route-400/,0f78af,ffffff
401,1,401,Cumming - Perimeter,401 Cumming - Perimeter,3,https://www.xpressga.com/route401/,0f78af,ffffff
410,1,410,Sugarloaf Mills - Lindbergh Cent,410 Sugarloaf Mills  - Lindber,3,https://www.xpressga.com/route-410/,0f78af,ffffff
411,1,411,Hamilton Mill/Mall of GA - MT,411 Hamilton Mills/Mall of GA,3,https://www.xpressga.com/route-411_414_/,0f78af,ffffff
412,1,412,Sugarloaf Mills - Midtown,412 Sugarloaf Mills - Midtown,3,https://www.xpressga.com/route-412_414_/,0f78af,ffffff
413,1,413,Hamilton Mill/Mall of GA - DT,413 Hamiltom Mill/Mall of GA -,3,https://www.xpressga.com/route-413/,0f78af,ffffff
414,1,414,Ham Mill/Mall of GA/Sugarloaf-MT,414 Ham Mill/Mall of GA/Sugarl,3,https://www.xpressga.com/route-411_414_/,0f78af,ffffff
416,1,416,Dacula - Downtown,,3,https://www.xpressga.com/route-416-2/,0f78af,ffffff
417,1,417,Sugarloaf Mills - Perimeter,417 Sugarloaf Mills - Perimete,3,https://www.xpressga.com/route-417_/,0f78af,ffffff
419,1,419,Snellville/Hewatt/Stone Mtn - DT,419 Snellville/Hewtt/StnMtn -,3,https://www.xpressga.com/route-419_/,01925c,ffffff
423,1,423,E Conyer/W Conyer/Panola - MT,423 E Conyers/W Conyers/Panola,3,https://www.xpressga.com/route-423/,01925c,ffffff
426,1,426,E Conyer/W Conyer/Panola - DT,426 E Conyers/W Conyers/Panola,3,https://www.xpressga.com/route-426_/,01925c,ffffff
428,1,428,W Conyers/Panola - Perimeter,428 W Conyers/Panola - Perimet,3,https://www.xpressga.com/route-428/,01925c,ffffff
430,1,430,McDonough - Downtown,430 McDonough - Downtown,3,https://www.xpressga.com/route-430/,f44d23,ffffff
431,1,431,BrandsMart/Stockbridge - MT,431 BrandsMart/Stockbridge - M,3,https://www.xpressga.com/route-431/,f44d23,ffffff
432,1,432,BrandsMart/Stockbridge - DT,432 BrandMart/Stockbridge - DT,3,https://www.xpressga.com/route-432/,f44d23,ffffff
440,1,440,Hampton/Jonesboro - DT/MT,440 Hampton/Jonesboro - DT/MT,3,https://www.xpressga.com/route-440_441_/,f44d23,ffffff
441,1,441,Jonesboro - Downtown/Midtown,441 Jonesboro - Downtown/Midto,3,https://www.xpressga.com/route-440_441_/,f44d23,ffffff
442,1,442,Riverdale - Downtown,442 Riverdale - Downtown,3,https://www.xpressga.com/route-442/,f44d23,ffffff
453,1,453,Newnan/Union City - DT/MT,453 Newnan/Union City - DT/MT,3,https://www.xpressga.com/route-453_/,f44d23,ffffff
463,1,463,W Douglas/Douglas MMTC - DT/MT,463 W Douglas/Douglas MMTC - D,3,https://www.xpressga.com/route-463_/,8e287e,ffffff
476,1,476,Hiram/Powder Springs - DT/MT,476 Hiram/Powder Springs - DT/,3,https://www.xpressga.com/route-476_/,8e287e,ffffff
480,1,480,Acworth/Town Center - Downtown,480 Acworth/Town Center - DT,3,https://www.xpressga.com/route-480/,0f78af,ffffff
483,1,483,Woodstock/Town Center - Midtown,483 Woodstock/Town Center - Mi,3,https://www.xpressga.com/route-483_/,0f78af,ffffff
484,1,484,Hickory Grove  - Midtown,484 Hickory Grove - Midtown,3,https://www.xpressga.com/route-484/,0f78af,ffffff
485,1,485,Hickory Grove - Downtown,485 Hickory Grove - Downtown,3,https://www.xpressga.com/route-485/,0f78af,ffffff
490,1,490,Woodstock - Downtown,490 Woodstock - Downtow,3,https://www.xpressga.com/x490/,0f78af,ffffff
999,1,999,Test Route,,3,,ffffff,000000
9999,1,9999,Test Route NORTH OPS,,3,,ffffff,000000
99999,1,99999,Test Route for COBB Garage,,3,,ffffff,000000
