trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1020,07:00:00,07:00:00,209,1,"",0,1,0.00,1
1020,07:27:00,07:27:00,218,2,"",0,1,35078.15,1
1020,07:59:11,07:59:11,185,3,"",1,0,61050.88,0
1020,07:59:30,07:59:30,373,4,"",1,0,61303.19,0
1020,08:00:00,08:00:00,378,5,"",1,0,61676.88,1
1020,08:01:42,08:01:42,371,6,"",1,0,61956.68,0
1020,08:03:04,08:03:04,228,7,"",1,0,62175.09,0
1020,08:06:00,08:06:00,325,8,"",1,0,62571.29,1
1020,08:07:06,08:07:06,381,9,"",1,0,62768.19,0
1020,08:08:42,08:08:42,380,10,"",1,0,63054.03,0
1020,08:10:54,08:10:54,321,11,"",1,0,63453.77,0
1020,08:12:38,08:12:38,384,12,"",1,0,63811.73,0
1020,08:15:00,08:15:00,326,13,"",1,0,64248.35,1
1020,08:17:20,08:17:20,330,14,"",1,0,64829.61,0
1020,08:18:44,08:18:44,329,15,"",1,0,65305.87,0
1020,08:20:34,08:20:34,328,16,"",1,0,65796.24,0
1020,08:21:55,08:21:55,385,17,"",1,0,66187.17,0
1020,08:23:14,08:23:14,331,18,"",1,0,66556.53,0
1020,08:24:00,08:24:00,239,19,"",1,0,66761.17,1
1020,08:26:10,08:26:10,235,20,"",1,0,67380.01,0
1020,08:31:35,08:31:35,236,21,"",1,0,68996.24,0
1020,08:34:00,08:34:00,237,22,"",1,0,69754.90,1
2020,06:48:00,06:48:00,220,1,"",0,1,0.00,1
2020,07:00:00,07:00:00,200,2,"",0,1,9471.86,1
2020,07:35:25,07:35:25,192,3,"",1,0,42755.91,0
2020,07:36:00,07:36:00,227,4,"",1,0,43182.47,1
2020,07:36:47,07:36:47,225,5,"",1,0,43338.18,0
2020,07:37:47,07:37:47,188,6,"",1,0,43490.60,0
2020,07:40:05,07:40:05,379,7,"",1,0,44000.73,0
2020,07:41:21,07:41:21,322,8,"",1,0,44169.17,0
2020,07:44:00,07:44:00,325,9,"",1,0,44572.79,1
2020,07:45:15,07:45:15,381,10,"",1,0,44781.99,0
2020,07:47:04,07:47:04,380,11,"",1,0,45080.28,0
2020,07:49:21,07:49:21,321,12,"",1,0,45493.62,0
2020,07:51:19,07:51:19,384,13,"",1,0,45864.43,0
2020,07:54:00,07:54:00,326,14,"",1,0,46301.05,1
2020,07:56:23,07:56:23,330,15,"",1,0,46882.31,0
2020,07:57:40,07:57:40,329,16,"",1,0,47358.41,0
2020,07:59:33,07:59:33,328,17,"",1,0,47848.78,0
2020,08:00:56,08:00:56,385,18,"",1,0,48239.77,0
2020,08:02:13,08:02:13,331,19,"",1,0,48625.07,0
2020,08:03:00,08:03:00,239,20,"",1,0,48829.71,1
2020,08:05:11,08:05:11,235,21,"",1,0,49448.55,0
2020,08:10:38,08:10:38,236,22,"",1,0,51064.78,0
2020,08:13:00,08:13:00,237,23,"",1,0,51834.03,1
3020,16:50:00,16:50:00,326,1,"",0,1,0.00,1
3020,16:52:33,16:52:33,330,2,"",0,1,589.31,0
3020,16:54:07,16:54:07,329,3,"",0,1,1065.57,0
3020,16:56:10,16:56:10,328,4,"",0,1,1555.94,0
3020,16:57:41,16:57:41,385,5,"",0,1,1946.87,0
3020,16:59:08,16:59:08,331,6,"",0,1,2316.23,0
3020,17:00:00,17:00:00,239,7,"",0,1,2520.87,1
3020,17:50:00,17:50:00,207,8,"",1,0,54873.27,1
3020,18:09:36,18:09:36,202,9,"",1,0,66631.95,0
4020,17:00:00,17:00:00,377,1,"",0,1,0.00,1
4020,17:00:54,17:00:54,188,2,"",0,1,210.67,0
4020,17:02:49,17:02:49,379,3,"",0,1,707.53,0
4020,17:03:49,17:03:49,322,4,"",0,1,861.57,0
4020,17:06:00,17:06:00,325,5,"",0,1,1253.61,1
4020,17:06:54,17:06:54,381,6,"",0,1,1450.51,0
